users,pair,weight
true_solidarity,agenda21-tech,5
true_solidarity,agenda21-srm,9
true_solidarity,agenda21-solar,1
true_solidarity,agenda21-contrails,9
true_solidarity,agenda21-chemtrail,2
true_solidarity,agenda21-usaf,1
true_solidarity,agenda21-illuminati,1
true_solidarity,agenda21-greatlakes,2
true_solidarity,agenda21-depopulation,1
true_solidarity,agenda21-fukushima,1
true_solidarity,weather-weathermanipulation,1
true_solidarity,weather-weathermodification,5
true_solidarity,nasa-sun,2
true_solidarity,nasa-sunset,2
true_solidarity,nasa-nexrad,1
true_solidarity,nasa-uk,2
true_solidarity,nasa-weathermanipulation,1
true_solidarity,nasa-weather,2
true_solidarity,nasa-nwo,2
true_solidarity,nasa-obama,2
true_solidarity,nasa-poison,1
true_solidarity,nasa-news,1
true_solidarity,nasa-snow,2
true_solidarity,nasa-snowden,1
true_solidarity,nasa-weathermodification,2
true_solidarity,nasa-usa,1
true_solidarity,nasa-truth,2
true_solidarity,nasa-nsa,2
true_solidarity,nasa-revolution,2
true_solidarity,nasa-science,2
true_solidarity,nasa-tech,2
true_solidarity,nasa-srm,2
true_solidarity,nasa-solar,1
true_solidarity,nasa-usaf,1
true_solidarity,nwo-sun,2
true_solidarity,nwo-sunset,3
true_solidarity,nwo-uk,3
true_solidarity,nwo-weathermanipulation,1
true_solidarity,nwo-weather,5
true_solidarity,nwo-obama,2
true_solidarity,nwo-poison,1
true_solidarity,nwo-snow,6
true_solidarity,nwo-snowden,1
true_solidarity,nwo-weathermodification,5
true_solidarity,nwo-usa,1
true_solidarity,nwo-truth,2
true_solidarity,nwo-revolution,2
true_solidarity,nwo-science,5
true_solidarity,nwo-tech,5
true_solidarity,nwo-srm,13
true_solidarity,nwo-solar,1
true_solidarity,nwo-usaf,1
true_solidarity,obama-sun,2
true_solidarity,obama-sunset,2
true_solidarity,obama-uk,2
true_solidarity,obama-weathermanipulation,1
true_solidarity,obama-weather,2
true_solidarity,obama-poison,1
true_solidarity,obama-snow,2
true_solidarity,obama-snowden,1
true_solidarity,obama-weathermodification,2
true_solidarity,obama-usa,1
true_solidarity,obama-truth,2
true_solidarity,obama-revolution,2
true_solidarity,obama-science,2
true_solidarity,obama-tech,2
true_solidarity,obama-srm,2
true_solidarity,obama-solar,1
true_solidarity,obama-usaf,1
true_solidarity,bilderberg-chemtrails,2
true_solidarity,bilderberg-sun,2
true_solidarity,bilderberg-sunset,2
true_solidarity,bilderberg-geoengineering,2
true_solidarity,bilderberg-climatechange,2
true_solidarity,bilderberg-haarp,2
